ID,Player,Age,Season,Market Value,Club,Nationality,Position,days_injured,injuries,games_missed,appearances,own_goals,assists,substitutions_on,substitutions_off,second_yellow_cards,red_cards,penalty_goals,minutes_per_goal,minutes_played,goals,yellow_cards
1005649,Murillo,20,22/23,500000,Sport Club Corinthians Paulista,['Brazil'],Defender - Centre-Back,0,0,0,31,1,0,1,3,0,0,0,0,1544,0,7
1005649,Murillo,21,23/24,22800000,Nottingham Forest,['Brazil'],Defender - Centre-Back,0,0,0,36,1,2,0,5,0,0,0,0,372,0,6
1005649,Murillo,22,24/25,40000000,Nottingham Forest,['Brazil'],Defender - Centre-Back,0,0,0,12,0,0,0,0,0,0,0,0,0,1,1
1056993,Estêvão,16,23/24,10000000,SE Palmeiras U17,['Brazil'],Attack - Right Winger,0,0,0,48,0,12,12,30,0,0,6,819,1025,18,8
1056993,Estêvão,17,24/25,40000000,Sociedade Esportiva Palmeiras,['Brazil'],Attack - Right Winger,45,2,10,0,0,0,0,0,0,0,0,0,0,0,0
126414,Hakan Çalhanoğlu,17,11-Dec,200000,Karlsruher SC,"['Türkiye', 'Germany']",Midfield - Defensive Midfield,0,0,0,26,0,3,4,15,0,0,1,249,812,3,4
126414,Hakan Çalhanoğlu,18,11-Dec,300000,Karlsruher SC,"['Türkiye', 'Germany']",Midfield - Defensive Midfield,0,0,0,26,0,3,4,15,0,0,1,249,812,3,4
126414,Hakan Çalhanoğlu,18,Dec-13,2200000,Karlsruher SC,"['Türkiye', 'Germany']",Midfield - Defensive Midfield,0,0,0,40,0,14,1,15,0,0,7,180,351,17,4
126414,Hakan Çalhanoğlu,19,13/14,4000000,Hamburger SV,"['Türkiye', 'Germany']",Midfield - Defensive Midfield,3,1,1,38,0,5,5,8,1,0,1,222,444,11,2
126414,Hakan Çalhanoğlu,20,13/14,7000000,Hamburger SV,"['Türkiye', 'Germany']",Midfield - Defensive Midfield,3,1,1,38,0,5,5,8,1,0,1,222,444,11,2
126414,Hakan Çalhanoğlu,20,14/15,16500000,Bayer 04 Leverkusen,"['Türkiye', 'Germany']",Midfield - Defensive Midfield,8,3,3,47,0,11,3,20,0,0,1,1001,1194,13,4
126414,Hakan Çalhanoğlu,22,15/16,18000000,Bayer 04 Leverkusen,"['Türkiye', 'Germany']",Midfield - Defensive Midfield,21,3,6,46,0,11,4,20,0,0,3,1758,1255,8,4
126414,Hakan Çalhanoğlu,22,16/17,20000000,Bayer 04 Leverkusen,"['Türkiye', 'Germany']",Midfield - Defensive Midfield,2,1,0,22,0,7,3,6,0,0,1,560,373,7,2
126414,Hakan Çalhanoğlu,23,17/18,17500000,AC Milan,"['Türkiye', 'Germany']",Midfield - Defensive Midfield,38,4,9,45,0,14,9,14,1,0,0,668,987,8,5
